country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/15/2020,-2,-2,-8,1,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/16/2020,-3,-3,-7,-4,2,2
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/17/2020,-3,-4,-7,-1,3,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/18/2020,-3,-2,-4,1,2,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/19/2020,-3,-4,-3,0,1,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/20/2020,-2,-1,-1,4,1,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/21/2020,-2,-3,-5,2,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/22/2020,0,0,-5,1,5,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/23/2020,-2,-1,-5,-4,3,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/24/2020,-2,-3,-4,-1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/25/2020,-5,-2,-6,-6,-2,3
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/26/2020,-2,-1,-3,0,3,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/27/2020,0,2,-3,2,4,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/28/2020,1,3,-5,3,5,1
